Andong,안동시,1963-01-01
Ansan,안산시,1986-01-01
Anseong,안성시,1998-04-01
Anyang,안양시,1973-07-01
Asan,아산시,1986-01-01
Boryeong,보령시,1986-01-01
Bucheon,부천시,1973-07-01
Busan,부산광역시,1963-01-01
Changwon,창원시,1980-04-01
Cheonan,천안시,1963-01-01
Cheongju,청주시,1949-08-15
Chuncheon,춘천시,1949-08-15
Chungju,충주시,1956-07-08
Daegu,대구광역시,1981-07-01
Daejeon,대전광역시,1989-01-01
Dangjin,당진시,2012-01-01
Dongducheon,동두천시,1981-07-01
Donghae,동해시,1980-04-01
Gangneung,강릉시,1955-09-01
Geoje,거제시,1989-01-01
Gimcheon,김천시,1949-08-14
Gimhae,김해시,1981-07-01
Gimje,김제시,1989-01-01
Gimpo,김포시,1998-04-01
Gongju,공주시,1986-01-01
Goyang,고양시,1992-02-01
Gumi,구미시,1978-02-15
Gunpo,군포시,1989-01-01
Gunsan,군산시,1949-08-15
Guri,구리시,1986-01-01
Gwacheon,과천시,1986-01-01
Gwangju,광주광역시,1986-11-01
Gwangju,광주시,2001-03-21
Gwangmyeong,광명시,1981-07-01
Gwangyang,광양시,1989-01-01
Gyeongju,경주시,1955-09-01
Gyeongsan,경산시,1989-01-01
Gyeryong,계룡시,2003-09-19
Hanam,하남시,1989-01-01
Hwaseong,화성시,2001-03-21
Icheon,이천시,1996-03-01
Iksan,익산시,1949-08-15
Incheon,인천광역시,1981-07-01
Jecheon,제천시,1980-04-01
Jeongeup,정읍시,1981-07-01
Jeonju,전주시,1949-08-15
Jeju,제주시,1955-09-01
Jinju,진주시,1949-08-15
Naju,나주시,1981-07-01
Namyangju,남양주시,1989-01-01
Namwon,남원시,1981-07-01
Nonsan,논산시,1996-03-01
Miryang,밀양시,1989-01-01
Mokpo,목포시,1949-08-15
Mungyeong,문경시,1986-01-01
Osan,오산시,1989-01-01
Paju,파주시,1996-03-01
Pocheon,포천시,2003-10-19
Pohang,포항시,1949-08-14
Pyeongtaek,평택시,1986-01-01
Sacheon,사천시,1956-07-08
Sangju,상주시,1986-01-01
Samcheok,삼척시,1986-01-01
Sejong,세종특별자치시,2012-07-01
Seogwipo,서귀포시,1981-07-01
Seongnam,성남시,1973-07-01
Seosan,서산시,1989-01-01
Seoul,서울특별시,1946-08-16
Siheung,시흥시,1989-01-01
Sokcho,속초시,1963-01-01
Suncheon,순천시,1949-08-14
Suwon,수원시,1949-08-14
Taebaek,태백시,1981-07-01
Tongyeong,통영시,1955-09-01
Uijeongbu,의정부시,1963-01-01
Uiwang,의왕시,1989-01-01
Ulsan,울산광역시,1997-07-15
Wonju,원주시,1955-09-01
Yangju,양주시,2003-10-19
Yangsan,양산시,1996-03-01
Yeoju,여주시,2013-09-23
Yeongcheon,영천시,1981-07-01
Yeongju,영주시,1980-04-01
Yeosu,여수시,1949-08-14
Yongin,용인시,1996-03-01
